State,Public 4-year In-state 21-22 All,Public 4-year In-state 21-22 Tuition,Public 4-year In-state 22-23 All,Public 4-year In-state 22-23 Tuition,Public 4-year In-state 22-23 Room,Public 4-year In-state 22-23 Board,Public 4-year Out-state 22-23 All,Private 4-year 21-22 All,Private 4-year 21-22 Tuition,Private 4-year 22-23 All,Private 4-year 22-23 Tuition,Private 4-year 22-23 Room,Private 4-year 22-23 Board,Public 2-year In-state 21-22 Tuition,Public 2-year In-state 22-23 Tuition,Public 2-year Out-state 22-23 Tuition
North Carolina ,18239.854,7336.779,18859.536,7326.849,6595.306,4937.381,23154.995,51845.836,38345.588,54083.879,40175.598,7275.52,6632.761,2524.37,2526.71,8522.41
North Dakota ,18335.766,9364.154,18989.233,9727.743,4186.155,5075.334,14686.795,24879.41,16979.077,25039.823,16990.139,3561.241,4488.442,5441.26,5610.24,6642.01
Ohio ,23525.625,10456.102,24422.703,10922.024,7369.396,6131.283,27440.835,48593.612,36135.642,50456.994,37609.568,6807.044,6040.383,4497.83,4630.12,8297.19
Oklahoma ,17890.989,8290.541,19437.92,8519.494,6194.328,4724.098,22927.558,40122.884,30175.311,41310.095,31140.262,4958.08,5211.752,4292.19,4413.2,9919.49
Oregon ,25366.996,11870.82,26809.793,12423.638,8604.615,5781.54,35959.978,60019.875,45571.828,61972.609,47223.842,8218.769,6529.998,5203.96,5375.81,9154.1
Pennsylvania ,27313.789,14919.829,28733.049,16217.35,7508.682,5007.018,31844.075,60194.439,45406.508,62437.229,47222.352,8488.752,6726.126,5548.97,5716.71,13176.62
Rhode Island ,27872.286,14171.921,29163.525,14743.85,8261.892,6157.782,33878.839,64011.299,47524.728,66529.332,49791.835,9917.481,6820.015,4980,5090,13552
South Carolina ,23585.594,12604.502,24222.498,12603.534,7027.98,4590.984,33346.247,38511.365,27883.885,39722.056,28730.249,5527.706,5464.101,4990.97,4987.34,10498.14
South Dakota ,17457.09,9152.639,17359.825,9079.307,4154.48,4126.038,12987.303,36140.216,27493.163,37769.242,28687.431,4321.537,4760.274,7367.31,7412.26,7256.91
Tennessee ,21035.03,10397.127,21279.352,10436.927,5499.027,5343.399,24920.334,42746.735,30722.663,44296.918,31884.67,7031.729,5380.519,4459.34,4440.29,17258.02
Texas ,18787.849,8187.466,19072.954,8194.825,5994.223,4883.906,24742.95,51278.565,38865.338,52834.872,40142.197,7081.593,5611.082,2858.89,2931.36,7862.69
Utah ,15278.46,7115.247,16030.254,7215.426,4217.18,4597.648,23107.688,15981.536,7613.58,16969.765,8123.078,4464.797,4381.891,4086,4257,13701
Vermont ,30901.06,17683.388,30886.726,17599.804,8485.269,4801.653,41899.591,64253.795,48967.705,65793.431,50094.366,8690.211,7008.854,6920,6920,13640
Virginia ,26483.11,14273.174,27697.148,14824.744,7050.118,5822.286,37730.4,35679.173,23839.317,36434.194,24042.634,6513.702,5877.858,5195.89,5220.48,11510.69
Washington ,21684.034,7841.835,22974.184,8005.847,7738.487,7229.849,30443.692,53832.813,40839.019,56491.91,42338.75,7164.558,6988.602,4726.5,4623.48,8295.11
West Virginia ,20002.138,8462.702,20269.463,8714.719,6058.479,5496.265,23521.271,22223.134,12115.224,22576.447,12132.556,4977.619,5466.272,4543.89,4599.79,10775.62
Wisconsin ,18275.346,8904.912,18437.762,8973.706,5746.336,3717.72,29256.218,48640.467,36684.94,50008.638,37686.374,6943.132,5379.132,4585.58,4655.72,6686.42
Wyoming ,14630.443,4928.997,15244.108,5100.44,4678.875,5464.793,15214.819,†,†,†,†,†,†,4070.7,4192.46,9989.6
