Institution,Charge,0910 All,0910 Private FP,0910 Private NP,0910 Public,1011 All,1011 Private FP,1011 Private NP,1011 Public,1112 All,1112 Private FP,1112 Private NP,1112 Public,1213 All,1213 Private FP,1213 Private NP,1213 Public,1314 All,1314 Private FP,1314 Private NP,1314 Public,1415 All,1415 Private FP,1415 Private NP,1415 Public,1516 All,1516 Private FP,1516 Private NP,1516 Public,1617 All,1617 Private FP,1617 Private NP,1617 Public,1718 All,1718 Private FP,1718 Private NP,1718 Public,1819 All,1819 Private FP,1819 Private NP,1819 Public,1920 All,1920 Private FP,1920 Private NP,1920 Public,2021 All,2021 Private FP,2021 Private NP,2021 Public,2122 All,2122 Private FP,2122 Private NP,2122 Public,2223 All,2223 Private FP,2223 Private NP,2223 Public
2-year Institute,Books and supplies,1258.9298394339312,1370.565493776166,1204.856270280588,1240.6194875702447,1302.1794916183987,1406.6823331335788,1152.5005911563017,1295.2978456100016,1314.752346711248,1368.2471043868538,1332.037767379679,1311.183578226165,1341.1805709644411,1253.9086484312147,1314.6352159468438,1346.7457120771633,1370.748306102102,1256.8973871733967,1263.6483385130289,1378.1804233887972,1417.0676965697949,1350.8581894775402,1236.7006932823333,1422.3874733760283,1443.810891797101,1291.4193263390391,1144.1688350088705,1450.8505125376869,1456.0020145288513,1264.9125705919264,1126.5341377280754,1464.8371746476255,1482.514919308357,1349.298947659928,1105.766394596116,1489.3575790021564,1515.7983837474908,1339.1786208806425,1020.1551356293812,1524.4287753736337,1544.7588232951534,1427.142377997652,1007.365010799136,1551.6655104250603,1470.5336537276648,1368.4173685195583,940.6412037037036,1478.6821306498523,1433.721042549288,1417.73416988417,1009.0599538816296,1438.96267513956,1462.6701663152762,1500.6470588235295,930.3033088235294,1466.9309982610537
2-year Institute,Tuition and required fees,4704.868589012337,13510.85760579088,12326.236827611528,2618.6555408319323,3849.872663627749,13953.991726105563,13831.560487804878,2748.094774351098,3911.848665255936,14298.408013082584,14007.301383847547,2939.8840012960245,3924.510967454403,14509.71723062066,14338.020363513968,3081.3918411099553,3948.79376018689,14304.290704977231,15353.979084024522,3160.706048185978,4060.919856783824,14428.093970796044,15633.848719798052,3269.8737280641517,3892.990619937862,14779.018274629912,17137.333502024292,3425.4062067991836,4030.6425954997385,14667.315289741582,17428.67143915083,3542.1191629064415,4066.15248100801,14648.177662466023,17876.218890200707,3637.479593384467,4176.780424479585,15020.766123054114,18386.871074380164,3736.7631922531295,4196.085407624526,15509.741371445947,18655.6754116662,3798.8004394040977,4421.919631716725,15268.533644558918,17506.869132290183,3940.5454591773914,4501.578057322686,16057.526966292136,18515.2268907563,3963.124073322272,4584.189081371492,16301.296147672552,19516.8756302521,4026.750292384757
4-year Institute,Books and supplies,1192.0771563145458,1388.7661338197674,1182.2691551180608,1164.8469106113191,1222.714401321305,1521.9929898416765,1220.5951593760597,1196.1579331710554,1236.8079638806432,1373.4390733932053,1229.745162185282,1229.5550786862157,1245.760043600442,1361.1890504704877,1238.557049089777,1240.5598213486958,1247.557618311122,1189.637832586542,1251.3631452027748,1250.3027998247392,1266.4755456131916,1282.5078737010392,1248.1272689922505,1275.4404196894138,1254.9285664726356,1148.9935924490658,1241.481723309094,1266.6822448111045,1262.70705956914,1100.768938874411,1247.270172595856,1276.6489088077344,1268.8560843099183,1102.1911069984903,1256.5403457569575,1280.774233074656,1271.5671031162665,1147.691997640582,1257.810402769468,1282.8293737965662,1275.9839575437495,1062.9120226032735,1250.1120074214496,1296.1802264805594,1215.7532244827685,1035.1823598936276,1227.0279652388056,1216.35409921088,1212.1823438382582,1008.5757505880184,1215.1856854510531,1218.3228496675024,1212.4932129679175,989.8471380149904,1214.569609479852,1219.578257368223
4-year Institute,Tuition and required fees,13734.210758763817,12872.5316406797,25675.814137704525,6772.88698384937,14596.070585079136,15191.482187080952,26636.801056465694,7163.285149879994,15076.6952051749,14608.977533826908,27931.430161556134,7703.278207755582,15762.959663730422,16298.929307704222,29029.00889443662,7996.589284297624,16103.545275724004,15240.93956493037,30108.173161631188,8198.554919510474,16628.25721612072,15463.023089497345,31177.277061538643,8444.612984684747,16895.552970102726,16154.0376998578,32311.690992209788,8520.268509457244,17442.014175124896,16810.38765860194,33486.90252324354,8776.15554981222,17999.632261885265,17206.757829159174,34658.463751984964,9014.433407652452,18509.59589703233,17261.94301124723,35769.15810084352,9216.455963557351,18594.64744447131,17853.436953275017,36926.694324679695,9101.680870694803,19391.07702339941,17898.22077697593,37928.69709387123,9363.215507386998,20167.94024161718,17949.49741228249,39403.63666281185,9677.194752095602,20726.603519173234,18240.96100085578,40713.09242640008,9834.162099091627
