Institution,Year,All 10th,All 25th,All 50th,All 75th,All 90th,Tuition 10th,Tuition 25th,Tuition 50th,Tuition 75th,Tuition 90th,Tuition 23 10th,Tuition 23 25th,Tuition 23 50th,Tuition 23 75th,Tuition 23 90th
Private Nonprofit 2-year,  2015-16 ,22582.27,23059.05,25695.71,31405.22,53386.67,4904,10800,14110,17346,22060,6167.947018755797,13583.570106558444,17746.682796624038,21816.722876700256,27745.69968061845
Private Nonprofit 2-year,  2021-22,15022.95,30985.45,37885.15,72126.85,72126.85,8400,12598,14975,20025,28320,8925.99592234731,13386.868646396597,15912.712968708449,21278.936707738678,30093.357681056645
Private Nonprofit 2-year,  2022-23,15434.11,34337.55,39700.46,75297.66,75297.66,9010,12938,15663,22272,38325,9010,12938,15663,22272,38325
Private for-profit,2000-01 ,13395.79,15777.63,19403.33,21400,21845,6900,8202,9644,12090,14600,11809.942772942224,14038.427626619148,16506.53450757316,20693.073641285722,24989.154273182095
Private for-profit,2005-06 ,17277.81,19097.89,25589.39,26499.39,31903.19,7632,10011,12450,14335,17740,11493.908900860337,15076.719340476,18749.890699123585,21588.729572043096,26716.71172710461
Private for-profit,2010-11 ,16096.95,16096.95,17484.29,26175.09,31639.47,10194,10194,13520,15750,18048,13818.039459579262,13818.039459579262,18326.45610099192,21349.236951969135,24464.192286294536
Private for-profit,2015-16 ,17407.46,17407.46,26027.68,26404.63,35376.84,10575,11003,13320,17132,19286,13300.57906267181,13838.89091504283,16753.06979808875,21547.566950514745,24256.73454398946
Private for-profit,2021-22,26481.4,26481.4,26481.4,27355.94,32150.86,9552,11066,14278,17330,25672,10150.132505983513,11758.937009130397,15172.067830866059,18415.179682652248,27279.543728392877
Private for-profit,2022-23,26682.14,26682.14,26682.14,27426.94,30030.56,9552,11500,14960,17442,26307,9552,11500,14959.999999999998,17442,26307
Private for-profit 4-year,  2000-01 ,13395.79,15818.42,20416.58,21400,21400,7206,8305,9675,12800,15090,12333.688061133575,14214.720975258719,16559.593670755945,21908.299636762385,25827.83136865191
Private for-profit 4-year,  2005-06 ,17382.63,19097.89,25589.39,26499.39,31903.19,7632,10418,12900,14450,17735,11493.908900860337,15689.667574575864,19427.597591862992,21761.921333520946,26709.181650518614
Private for-profit 4-year,  2010-11 ,16096.95,16096.95,17484.29,26175.09,31639.47,10194,10194,13560,16500,18048,13818.039459579262,13818.039459579262,18380.67638531438,22365.867283015286,24464.192286294536
Private for-profit 4-year,  2015-16 ,17407.46,17407.46,26027.68,26404.63,35376.84,10607,11003,12975,17132,19459,13340.826677802354,13838.89091504283,16319.150197462575,21547.566950514745,24474.32321328896
Private for-profit 4-year,  2021-22,26481.4,26481.4,26481.4,27355.94,32150.86,9552,10459,14278,17330,25687,10150.132505983513,11113.927541884586,15172.067830866059,18415.179682652248,27295.483006825638
Private for-profit 4-year,  2022-23,26682.14,26682.14,26682.14,27426.94,30030.56,9552,9552,14519,17550,26307,9552,9552,14518.999999999998,17550,26307
Private for-profit 2-year,  2000-01 ,15777.63,15777.63,19403.33,21845,21845,6025,7365,9644,12000,14255,10312.30510246042,12605.830220683982,16506.53450757316,20539.03090946474,24398.657134534984
Private for-profit 2-year,  2005-06 ,13010,18281.11,43425.33,43425.33,43425.33,7870,9285,11550,14196,19425,11852.340546353624,13983.352220189758,17394.476913644772,21379.39344295248,29254.347536584388
Private for-profit 2-year,  2010-11 ,23687.22,23687.22,25160.59,25160.59,25160.59,10075,12049,13418,15263,17918,13656.734113719938,16332.505145033403,18188.19437596964,20689.10499034317,24287.976362246536
Private for-profit 2-year,  2015-16 ,25732.33,25732.33,25732.33,25732.33,25732.33,10510,12678,13975,15760,18048,13218.826094437893,15945.602019532218,17576.88817029206,19821.95045179269,22699.654933626553
Private for-profit 2-year,  2021-22,0,0,0,0,0,10950,13541,15114,16699,21270,11635.67325591703,14388.9179505363,16060.416948852053,17744.66736991402,22601.896817658013
Private for-profit 2-year,  2022-23,0,0,0,0,0,11711,13790,15711,17300,21069,11711,13790,15711,17300,21069
